UID,CONTINENT,REGION_WB,WB_NAME,FORMAL_EN,NAME_EN,INCOME_GRP,cropland_area,cum_2030,cum_2040,cum_2050,cum_2060,cum_2075,cum_2080,cum_2100,25_50,50_75,75_100,30_40,40_50,50_60
12,Africa,Sub-Saharan Africa,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopia,5. Low income,13.232236126114623,0.0,285847.38558421406,13604601.231966034,65582178.259286895,225940034.9669898,295464344.3254339,581311729.909648,1360.4601231966033,21233.543373502373,35537.16949426582,28.584738558421407,1331.875384638182,5197.757702732086
13,Africa,Sub-Saharan Africa,South Sudan,Republic of South Sudan,South Sudan,5. Low income,0.3087911650817516,0.0,2551.722334076777,121446.50103713702,585443.5528231348,2016937.2275664955,2637571.6706229593,5189294.004699736,12.144650103713701,189.54907265293585,317.23567771332404,0.2551722334076777,11.889477870306024,46.39970517859978
14,Africa,Sub-Saharan Africa,Somalia,Federal Republic of Somalia,Somalia,5. Low income,0.9639361721468019,0.0,2451.1966717691266,116662.08943064378,562379.8753589555,1937479.5420940537,2533663.954829423,4984860.62659855,11.666208943064378,182.081745266341,304.73810845044966,0.24511966717691266,11.421089275887466,44.57177859283117
15,Africa,Sub-Saharan Africa,Kenya,Republic of Kenya,Kenya,5. Low income,4.735557194583501,0.0,68213.07874661729,3246528.679126303,15650177.386903068,53917111.62835232,70508017.9239586,138721096.6705759,324.6528679126303,5067.058294922602,8480.398504222358,6.821307874661729,317.8315600379686,1240.3648707776765
17,Africa,Sub-Saharan Africa,Malawi,Republic of Malawi,Malawi,5. Low income,1.9658091826841901,0.0,37478.22578698561,1783736.1558211977,8598657.214864627,29623610.611325823,38739131.32352191,76217357.11050752,178.37361558211975,2783.987445550463,4659.37464991817,3.7478225786985613,174.6257930034212,681.4921059043429
18,Africa,Sub-Saharan Africa,Tanzania,United Republic of Tanzania,Tanzania,5. Low income,12.705412206454069,0.0,117156.69070843505,5575947.652931972,26879346.67866713,92603214.61811002,121098273.23681167,238254963.94524673,557.5947652931973,8702.726696517804,14565.17493271367,11.715669070843505,545.8790962223537,2130.3399025735157
78,Africa,Sub-Saharan Africa,Zambia,Republic of Zambia,Zambia,4. Lower middle income,3.4010544603352044,0.0,61991.59688199527,2950423.8899672125,14222778.175786775,48999516.082861274,64077222.49755942,126068819.37955469,295.04238899672123,4604.909219289407,7706.9303296693415,6.199159688199527,288.8432293085217,1127.2354285819563
85,Africa,Sub-Saharan Africa,Eritrea,State of Eritrea,Eritrea,5. Low income,0.24762511072005755,0.0,1148.6848711567234,54670.43045134126,263543.62426642573,907945.6837597714,1187330.8604842105,2336015.731640934,5.467043045134126,85.32752533084302,142.80700478811627,0.11486848711567234,5.352174558018453,20.887319381508448
104,Africa,Sub-Saharan Africa,Zimbabwe,Republic of Zimbabwe,Zimbabwe,5. Low income,4.986351145003578,0.0,30814.704980430204,1466592.99500895,7069840.680556196,24356617.803400215,31851425.137285907,62666130.11771611,146.659299500895,2289.0024808391267,3830.95123143159,3.0814704980430205,143.57782900285196,560.3247685547245
118,Africa,Sub-Saharan Africa,Mozambique,Republic of Mozambique,Mozambique,5. Low income,3.328726785118984,0.0,94492.17559496377,4497254.245943287,21679410.120583527,74688685.4130181,97671240.36831342,192163415.9632772,449.72542459432873,7019.143116707482,11747.473055025908,9.449217559496377,440.27620703483234,1718.215587464024
