UID,CONTINENT,REGION_WB,WB_NAME,FORMAL_EN,NAME_EN,INCOME_GRP,cropland_area,cum_2030,cum_2040,cum_2050,cum_2060,cum_2075,cum_2080,cum_2100,25_50,50_75,75_100,30_40,40_50,50_60
12,Africa,Sub-Saharan Africa,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopia,5. Low income,13.232236126114623,0.0,2756798.87836926,54203849.73253569,193934141.00126418,506476892.53321904,613669662.1272993,1042440740.5036205,5420.384973253569,45227.30428006834,53596.38479704015,275.679887836926,5144.705085416644,13973.029126872849
13,Africa,Sub-Saharan Africa,South Sudan,Republic of South Sudan,South Sudan,5. Low income,0.3087911650817516,0.0,24609.58407618591,483870.69789975084,1731224.7859868114,4521253.17056666,5478149.045845452,9305732.546960618,48.38706978997509,403.73824726669096,478.4479376393958,2.460958407618591,45.926111382356495,124.73540880870605
14,Africa,Sub-Saharan Africa,Somalia,Federal Republic of Somalia,Somalia,5. Low income,0.9639361721468019,0.0,23640.08410146807,464808.50538449973,1663022.8049598634,4343137.407984593,5262336.159898016,8939131.167551706,46.48085053844997,387.8328902600093,459.59937595671124,2.364008410146807,44.11684212830316,119.82142995753638
15,Africa,Sub-Saharan Africa,Kenya,Republic of Kenya,Kenya,5. Low income,4.735557194583501,0.0,657867.6190948994,12934914.421618754,46279397.674880736,120862914.60424127,146442819.13422275,248762437.2541487,1293.4914421618755,10792.80001826225,12789.952264990743,65.78676190948994,1227.7046802523855,3334.4483253261983
17,Africa,Sub-Saharan Africa,Malawi,Republic of Malawi,Malawi,5. Low income,1.9658091826841901,0.0,361451.3758860059,7106813.709867983,25427231.0708581,66405558.67060238,80459893.340722,136677232.02120042,710.6813709867984,5929.874496073439,7027.167335059804,36.14513758860059,674.5362333981977,1832.0417360990114
18,Africa,Sub-Saharan Africa,Tanzania,United Republic of Tanzania,Tanzania,5. Low income,12.705412206454069,0.0,1129894.6564733055,22215853.558857497,79485359.39433092,207583345.66611665,251517104.6817798,427252140.7444324,2221.58535588575,18536.749210725917,21966.879507831574,112.98946564733055,2108.595890238419,5726.950583547342
78,Africa,Sub-Saharan Africa,Zambia,Republic of Zambia,Zambia,4. Lower middle income,3.4010544603352044,0.0,597865.7611414647,11755165.068954773,42058411.92507423,109839421.08756816,133086269.9183164,226073665.24130931,1175.5165068954773,9808.42560186134,11623.424415374115,59.78657611414647,1115.729930781331,3030.3246856119454
85,Africa,Sub-Saharan Africa,Eritrea,State of Eritrea,Eritrea,5. Low income,0.24762511072005755,0.0,11078.265270583164,217819.5263845528,779329.1980391281,2035290.0652015174,2466046.8918852885,4189074.1986203743,21.78195263845528,181.74705388169647,215.3784133418857,1.1078265270583165,20.674126111396962,56.15096716545753
104,Africa,Sub-Saharan Africa,Zimbabwe,Republic of Zimbabwe,Zimbabwe,5. Low income,4.986351145003578,0.0,297186.36031499534,5843242.662156777,20906342.4819273,54598841.23452375,66154355.60218508,112376413.0728304,584.3242662156778,4875.559857236697,5777.757183830664,29.718636031499535,554.6056301841783,1506.3099819770525
118,Africa,Sub-Saharan Africa,Mozambique,Republic of Mozambique,Mozambique,5. Low income,3.328726785118984,0.0,911311.1990248449,17918091.76908087,64108541.23397633,167425367.09310204,202859932.94121346,344598196.3336591,1791.809176908087,14950.727532402116,17717.282924055708,91.13111990248449,1700.6780570056026,4619.0449464895455
120,Africa,Sub-Saharan Africa,Burundi,Republic of Burundi,Burundi,5. Low income,0.3349223475729101,0.0,82699.7405887683,1626032.4055430968,5817726.957868381,15193530.422313357,18409149.199576456,31271624.308628865,162.60324055430968,1356.749801677026,1607.8093886315507,8.26997405887683,154.33326649543284,419.16945523252843
121,Africa,Sub-Saharan Africa,Rwanda,Republic of Rwanda,Rwanda,5. Low income,0.7355171060194965,0.0,121555.07342821195,2390001.3113135085,8551105.753347704,22332001.200604714,27058434.122940134,45964165.812281825,239.00013113135086,1994.1999889291205,2363.216461167711,12.155507342821195,226.84462378852967,616.1104442034197
128,Africa,Sub-Saharan Africa,Uganda,Republic of Uganda,Uganda,5. Low income,4.716126520544364,0.0,693357.1809784166,13632705.941523032,48776002.614905395,127383028.62531261,154342875.83440062,262182264.67075264,1363.2705941523031,11375.032268378958,13479.923604544001,69.33571809784166,1293.9348760544615,3514.3296673382365
167,Africa,Sub-Saharan Africa,Madagascar,Republic of Madagascar,Madagascar,5. Low income,1.6914452438204324,0.0,715621.3281709471,14070460.940016374,50342231.58241833,131473380.00112475,159298925.32803458,270601106.63567394,1407.0460940016374,11740.291906110839,13912.77266345492,71.56213281709472,1335.4839611845425,3627.1770642401957
180,Seven seas (open ocean),Sub-Saharan Africa,Seychelles,Republic of Seychelles,Seychelles,3. Upper middle income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Seven seas (open ocean),Sub-Saharan Africa,Mauritius,Republic of Mauritius,Mauritius,3. Upper middle income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Africa,Sub-Saharan Africa,Comoros,Union of the Comoros,Comoros,5. Low income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Africa,Sub-Saharan Africa,"Congo, Rep. of",Republic of the Congo,Republic of the Congo,4. Lower middle income,0.1388941780570613,0.0,104488.88321156133,2054447.921014177,7350540.501453766,19196614.337191947,23259461.602228962,39510850.66237702,205.4447921014177,1714.2166416177768,2031.4236325185075,10.448888321156133,194.99590378026156,529.6092580439589
29,Africa,Sub-Saharan Africa,"Congo, Democratic Republic of",Democratic Republic of the Congo,Democratic Republic of the Congo,5. Low income,3.0910198487383056,0.0,1469355.2943097518,28890288.0080915,103365595.1703607,269948783.4707234,327081810.02214026,555613916.2278079,2889.0288008091497,24105.849546263187,28566.51327570845,146.93552943097518,2742.093271378175,7447.53071622692
82,Africa,Sub-Saharan Africa,Central African Republic,Central African Republic,Central African Republic,5. Low income,0.20764870973791472,0.0,60105.411103927654,1181785.4023202306,4228270.463771831,11042518.218941089,13379600.381290184,22727929.03068657,118.17854023202307,986.0732816620858,1168.541081174548,6.010541110392765,112.16799912163029,304.64850614516007
98,Africa,Sub-Saharan Africa,Angola,People's Republic of Angola,Angola,3. Upper middle income,2.4990938215683816,0.0,1082922.867565836,21292299.864902522,76181007.52284025,198953726.04850632,241061078.29025257,409490487.2572375,2129.229986490252,17766.14261836038,21053.67612087312,108.29228675658361,2020.9376997336685,5488.870765793772
110,Africa,Sub-Saharan Africa,Chad,Republic of Chad,Chad,5. Low income,4.897240573428541,0.0,705780.4768818734,13876971.299296295,49649951.46853617,129665426.64628305,157108329.58563384,266879941.34303707,1387.6971299296295,11578.845534698676,13721.451469675403,70.57804768818734,1317.1190822414421,3577.2980169239872
141,Africa,Sub-Saharan Africa,Cameroon,Republic of Cameroon,Cameroon,4. Lower middle income,1.7266749987491399,0.0,405146.67136425496,7965945.38200606,28501089.54521417,74433223.52703741,90186564.8883219,153199930.33345985,796.594538200606,6646.727814503135,7876.670680642244,40.514667136425494,756.0798710641805,2053.514416320811
142,Africa,Sub-Saharan Africa,Gabon,Gabonese Republic,Gabon,3. Upper middle income,0.0030775853510191255,0.0,2333.701614610731,45884.96195042071,164170.27064756874,428745.80047963886,519487.25479431736,882453.0720530315,4.588496195042071,38.28608385292181,45.37072715733927,0.23337016146107312,4.355126033580997,11.828530869714804
159,Africa,Sub-Saharan Africa,Equatorial Guinea,Republic of Equatorial Guinea,Equatorial Guinea,2. High income: nonOECD,1.5978027937821871e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Africa,Sub-Saharan Africa,São Tomé and Príncipe,Democratic Republic of São Tomé and Principe,São Tomé and Príncipe,4. Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Africa,Sub-Saharan Africa,Sudan,Republic of the Sudan,Sudan,4. Lower middle income,15.603686941056752,0.0,295135.4942338489,5802918.7786278585,20762069.007762574,54222057.752808444,65697828.176495634,111600909.8712444,580.2918778627859,4841.913897418059,5737.885211843595,29.513549423384887,550.778328439401,1495.9150229134716
33,Africa,Sub-Saharan Africa,Namibia,Republic of Namibia,Namibia,3. Upper middle income,0.5021300033981831,0.0,23247.74519373983,457094.3847188281,1635422.7106444377,4271057.216583898,5175000.632147292,8790774.294400865,45.709438471882805,381.39628318650705,451.9717077816967,2.324774519373983,43.384663952508824,117.83283259256096
34,Africa,Sub-Saharan Africa,South Africa,Republic of South Africa,South Africa,3. Upper middle income,7.124546422874153,0.0,87312.29670663385,1716723.9321021785,6142209.137383605,16040945.555692092,19435914.618194208,33015790.868202683,171.67239321021785,1432.4221623589913,1697.484531251059,8.731229670663385,162.94116353955445,442.5485205281427
103,Africa,Sub-Saharan Africa,Botswana,Republic of Botswana,Botswana,3. Upper middle income,0.24673109190795076,0.0,1160.3037895153197,22813.75429468522,81624.56843905624,213170.08734995654,258286.24643742197,438750.88278728386,2.281375429468522,19.03563330552713,22.55807954373273,0.11603037895153198,2.16534505051699,5.8810814144371015
119,Africa,Sub-Saharan Africa,eSwatini,Kingdom of eSwatini,eSwatini,4. Lower middle income,0.09336673106761476,0.0,2519.039548838287,49529.05424000825,177208.34656648798,462795.93802598945,560743.8979137002,952535.7374645435,4.952905424000825,41.32668837859812,48.97397994385541,0.2519039548838287,4.701001469116997,12.767929232647973
140,Africa,Sub-Saharan Africa,Lesotho,Kingdom of Lesotho,Lesotho,4. Lower middle income,0.23128408800399264,0.0,4045.055128148991,79533.38999314635,284559.8559022834,743154.3038940709,900438.4154588279,1529574.861717856,7.953338999314635,66.36209139009246,78.6420557823785,0.4045055128148991,7.548833486499737,20.502646590913706
79,Africa,Sub-Saharan Africa,Sierra Leone,Republic of Sierra Leone,Sierra Leone,5. Low income,0.024661928714871103,0.0,25922.651423811203,509688.0709978863,1823595.9016806602,4762488.857047165,5770440.805643414,9802248.600028414,50.96880709978863,425.28007860492784,503.9759742981249,2.5922651423811205,48.37654195740751,131.3907830682774
80,Africa,Sub-Saharan Africa,Guinea,Republic of Guinea,Guinea,5. Low income,0.2744252843050029,0.0,159562.52518899104,3137299.280752802,11224838.163320912,29314699.942956418,35518978.801539935,60336094.235874,313.72992807528016,2617.7400662203618,3102.139429291758,15.956252518899104,297.7736755563811,808.753888256811
81,Africa,Sub-Saharan Africa,Liberia,Republic of Liberia,Liberia,5. Low income,0.0006522529549301334,0.0,209.7701669948404,4124.475927269382,14756.824468784116,38538.807875809915,46695.31336296058,79321.33531156323,0.4124475927269382,3.441433194854053,4.078252743575332,0.020977016699484038,0.3914705760274541,1.0632348541514733
92,Africa,Sub-Saharan Africa,Côte d'Ivoire,Republic of Ivory Coast,Ivory Coast,4. Lower middle income,1.1122729815353802,0.0,267565.3276253077,5260837.461170876,18822574.393033195,49156888.71923098,59560646.76648832,101175678.95551771,526.0837461170877,4389.605125806011,5201.879023628673,26.75653276253077,499.3272133545568,1356.173693186232
94,Africa,Sub-Saharan Africa,Mali,Republic of Mali,Mali,5. Low income,5.12657482952839,0.0,597269.450279516,11743440.476127725,42016462.89655092,109729867.33132093,132953529.77247329,225848179.53708276,1174.3440476127726,9798.64268551932,11611.831220576183,59.72694502795161,1114.617102584821,3027.30224204232
95,Africa,Sub-Saharan Africa,Senegal,Republic of Senegal,Senegal,4. Lower middle income,2.863567768289368,0.0,168490.7250502035,3312844.4782847576,11852915.454108289,30954981.70493148,37506416.27303087,63712154.545428425,331.2844478284758,2764.2137226646723,3275.7172840496946,16.84907250502035,314.4353753234554,854.0070975823531
96,Africa,Sub-Saharan Africa,Nigeria,Federal Republic of Nigeria,Nigeria,4. Lower middle income,27.256879120013068,0.0,6555982.928572594,128902952.00628684,461197560.56479955,1204459957.967061,1459376619.8386405,2479043267.324958,12890.295200628685,107555.70059607741,127458.33093578968,655.5982928572594,12234.696907771426,33229.46085585127
97,Africa,Sub-Saharan Africa,Benin,Republic of Benin,Benin,5. Low income,2.2222404859795915,0.0,569003.173554207,11187672.324835079,40027998.616824605,104536809.50194924,126661392.67690177,215159725.37671196,1118.7672324835078,9334.913717711415,11062.291587476273,56.9003173554207,1061.8669151280872,2884.0326291989527
143,Africa,Sub-Saharan Africa,Niger,Republic of Niger,Niger,5. Low income,6.681380124247186,0.0,84998.26576136341,1671225.732498995,5979422.650802172,15615813.634904468,18920806.098861,32140775.95468714,167.1225732498995,1394.4587902405474,1652.4962319782671,8.499826576136341,158.62274667376317,430.81969183031765
144,Africa,Sub-Saharan Africa,Burkina Faso,Burkina Faso,Burkina Faso,5. Low income,3.5152026502145794,0.0,435492.2349086554,8562596.221976938,30635826.629358575,80008286.27344593,96941555.93009508,164674634.55669165,856.2596221976937,7144.5690051469,8466.634828324572,43.54922349086554,812.7103987068283,2207.323040738164
145,Africa,Sub-Saharan Africa,Togo,Togolese Republic,Togo,5. Low income,1.1006075307264827,0.0,288776.89888463804,5677896.837592209,20314757.1865414,53053861.6835872,64282390.47802172,109196505.6557598,567.7896837592209,4737.5964845994995,5614.264397217259,28.877689888463802,538.9119938707571,1463.6860348949192
