UID,CONTINENT,REGION_WB,WB_NAME,FORMAL_EN,NAME_EN,INCOME_GRP,cropland_area,cum_2030,cum_2040,cum_2050,cum_2060,cum_2075,cum_2080,cum_2100,25_50,50_75,75_100,30_40,40_50,50_60
12,Africa,Sub-Saharan Africa,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopia,5. Low income,13.232236126114623,0.0,2092094.347393186,36462494.38429939,134710523.58681506,400309401.9482146,507231119.6173885,936002197.9937094,3646.249438429939,36384.69075639152,53569.27960454948,209.2094347393186,3437.0400036906203,9824.802920251566
13,Africa,Sub-Saharan Africa,South Sudan,Republic of South Sudan,South Sudan,5. Low income,0.3087911650817516,0.0,18675.853411526838,325495.9323360838,1202543.276612832,3573509.8272964153,4527986.057389142,8355569.558504305,32.54959323360838,324.80138949603315,478.20597312078894,1.8675853411526837,30.682007892455697,87.70473442767481
14,Africa,Sub-Saharan Africa,Somalia,Federal Republic of Somalia,Somalia,5. Low income,0.9639361721468019,0.0,17940.11406078217,312672.9485264565,1155168.8198701262,3432730.622069198,4349605.051250583,8026400.058904271,31.267294852645648,312.00576735427416,459.3669436835073,1.7940114060782169,29.47328344656743,84.24958713436698
15,Africa,Sub-Saharan Africa,Kenya,Republic of Kenya,Kenya,5. Low income,4.735557194583501,0.0,499246.11404934735,8701213.04643362,32146592.961292855,95527677.12846567,121042899.28865646,223362517.40858233,870.121304643362,8682.646408203205,12783.484028011666,49.92461140493474,820.1966932384273,2344.5379914859236
17,Africa,Sub-Saharan Africa,Malawi,Republic of Malawi,Malawi,5. Low income,1.9658091826841901,0.0,274300.1625116428,4780696.50522959,17662262.00932768,52485651.11136317,66504447.42866253,122721786.10914092,478.069650522959,4770.495460613358,7023.613499777774,27.43001625116428,450.63963427179476,1288.156550409809
18,Africa,Sub-Saharan Africa,Tanzania,United Republic of Tanzania,Tanzania,5. Low income,12.705412206454069,0.0,857460.528769463,14944426.265465641,55212116.47528677,164069804.92710716,207892471.28237292,383627507.3450254,1494.442626546564,14912.537866164152,21955.770241791826,85.7460528769463,1408.696573669618,4026.7690209821126
78,Africa,Sub-Saharan Africa,Zambia,Republic of Zambia,Zambia,4. Lower middle income,3.4010544603352044,0.0,453711.58164569066,7907605.131891515,29214612.04512599,86814924.06490907,110002989.98382992,202990385.30682278,790.7605131891515,7890.731893301755,11617.54612419137,45.37115816456907,745.3893550245824,2130.7006913234477
85,Africa,Sub-Saharan Africa,Eritrea,State of Eritrea,Eritrea,5. Low income,0.24762511072005755,0.0,8407.133481285777,146525.4460112674,541337.6096252144,1608653.3478692202,2038320.9456107658,3761348.25234585,14.65254460112674,146.21279018579528,215.269490447663,0.8407133481285777,13.811831252998163,39.4812163613947
104,Africa,Sub-Saharan Africa,Zimbabwe,Republic of Zimbabwe,Zimbabwe,5. Low income,4.986351145003578,0.0,225530.38214566372,3930702.4096316537,14521962.59763949,43153853.223864876,54680147.85567556,100902205.32632084,393.07024096316536,3922.315081423322,5774.8352102455965,22.55303821456637,370.517202748599,1059.1260188007836
118,Africa,Sub-Saharan Africa,Mozambique,Republic of Mozambique,Mozambique,5. Low income,3.328726785118984,0.0,691580.7399500152,12053356.42636667,44531071.79287002,132329726.31146069,167674690.89898595,309412954.29143155,1205.335642636667,12027.6369885094,17708.322797997087,69.15807399500152,1136.1775686416656,3247.771536650335
